command_id,drama_id,command_type,param_01,param_02,param_03,param_04,param_05,param_06,param_07,param_08
11010031,101,3,103431,nyx_talk_bitter,1,"","",0.2,"",""
11010032,101,3,104631,nyx_cmn_04,1,"","",0.2,"",""
11010033,101,93,2,"","","","","","",""
11010034,101,3,2,nyx_101_chieru_02,0,nyx_101_chieru_loop,1,0.2,"",""
11010035,101,3,110931,nyx_101_chieru_02,0,nyx_101_chieru_loop,1,0.2,"",""
11010036,101,93,0.4,"","","","","","",""
11010037,101,32,3,0,"","","","","",""
11010038,101,32,4,1,"","","","","",""
11010039,101,91,11010026,"","","","","","",""
11010040,101,3,103431,nyx_idle_bitter,1,"","",0.2,"",""
11010041,101,3,104831,nyx_talk_sad,1,"","",0.2,"",""
11010042,101,11,104831,"G-guys...\nDo you hear strange\nnoises from outside?",20,"","","","",""
11010043,101,91,0,"","","","","","",""
11010044,101,4,110931,1,"","","","","",""
11010045,101,4,2,1,"","","","","",""
11010046,101,3,2,nyx_101_chieru_02,0,nyx_101_chieru_loop,1,0.2,"",""
11010047,101,3,110931,nyx_101_chieru_02,0,nyx_101_chieru_loop,1,0.2,"",""
11010048,101,3,104831,nyx_idle_sad,1,"","",0.2,"",""
11010049,101,3,104631,nyx_talk_sad,1,"","",0.2,"",""
11010050,101,11,104631,"So I wasn't imyagining\nthose ""cheru"" nyoises...\nThey're kind of scary...",20,"","","","",""
11010051,101,91,0,"","","","","","",""
11010052,101,3,104631,nyx_idle_sad,1,"","",0.2,"",""
11010053,101,3,103431,nyx_talk_sad,1,"","",0.2,"",""
11010054,101,11,103431,"Is this one of those\nspooky school mysteries?\nI want to go home...",20,"","","","",""
11010055,101,91,0,"","","","","","",""
11010056,101,3,103431,nyx_idle_sad,1,"","",0.2,"",""
11010057,101,3,103231,nyx_talk_joy2,1,"","",0.2,"",""
11010058,101,11,103231,"Intriguing, to say the least!\nWhatever could it mean?!",20,"","","","",""
11010059,101,91,0,"","","","","","",""
11010060,101,93,0.4,"","","","","","",""
11010061,101,4,110931,0,"","","","","",""
11010062,101,4,2,0,"","","","","",""
11010063,101,3,110931,nyx_101_chieru_01,0,nyx_101_chieru_loop,1,0.2,"",""
11010064,101,3,2,nyx_101_chieru_01,0,nyx_101_chieru_loop,1,0.2,"",""
11010065,101,12,104831,1,1,"","","","",""
11010066,101,3,104831,nyx_talk_sad,0,nyx_idle_sad,1,0.2,0.2,""
11010067,101,93,0.4,"","","","","","",""
11010068,101,32,3,0,"","","","","",""
11010069,101,32,3,1,"","","","","",""
11010070,101,93,1.6,"","","","","","",""
11010071,101,12,104631,15,1,"","","","",""
11010072,101,3,104631,nyx_talk_sad,0,nyx_idle_sad,1,0.2,0.2,""
11010073,101,93,3,"","","","","","",""
11010074,101,4,110931,1,"","","","","",""
11010075,101,4,2,1,"","","","","",""
11010076,101,3,110931,nyx_101_chieru_02,0,nyx_101_chieru_loop,1,0.2,"",""
11010077,101,3,2,nyx_101_chieru_02,0,nyx_101_chieru_loop,1,0.2,"",""
11010078,101,12,103231,10,1,"","","","",""
11010079,101,3,103231,nyx_talk_joy1,0,nyx_idle_joy1,1,0.2,0.2,""
11010080,101,93,2,"","","","","","",""
11010081,101,12,103431,2,1,"","","","",""
11010082,101,3,103431,nyx_talk_sad,0,nyx_idle_sad,1,0.2,0.2,""
11010083,101,93,2.5,"","","","","","",""
11010084,101,101,11010060,"","","","","","",""
11020001,102,1,1,110831,110,-362,-209.3,1.35,1,nyx_102_chloe_01
11020002,102,1,1,104831,110,90,-182.5,1.35,0,nyx_102_mifuyu_01
11020003,102,1,1,104631,110,220,-182.5,1.35,0,nyx_idle_normal
11020004,102,1,1,103231,110,336,-182.5,1.35,1,nyx_talk_normal
11020005,102,1,1,103431,110,457,-182.5,1.35,1,nyx_idle_normal
11020006,102,31,1,1,0,0,1,1,"",""
11020007,102,5,2,2,120,-362,-209.3,1.35,0,NoItem
11020008,102,25,bgm_M347,bgm_M347,"","","","","",""
11020009,102,93,2,"","","","","","",""
11020010,102,3,110831,nyx_102_chloe_02,1,"","",0.2,"",""
11020011,102,11,110831,"So I'm up next...\nWait. Won't going after\nChieru work against me?",20,"","","","",""
11020012,102,91,0,1,"","","","","",""
11020013,102,3,110831,nyx_idle_sad,1,"","",0.2,"",""
11020014,102,11,110831,"All her chelling around\nis gonna have made the\nmood weird for sure...",20,"","","","",""
11020015,102,91,0,1,"","","","","",""
11020016,102,3,110831,cmn_pose02_def_N,0,nyx_102_chloe_02,1,0.2,0.2,""
11020017,102,11,110831,"Well, whatever, I guess.\nJust gotta hope the\njudges are OK in there.",20,"","","","",""
11020018,102,93,3,"","","","","","",""
11020019,102,3,103231,nyx_idle_normal,1,"","",0.2,"",""
11020020,102,3,104631,nyx_talk_sad,1,"","",0.2,"",""
11020021,102,4,110831,0,"","","","","",""
11020022,102,91,11020016,"","","","","","",""
11020023,102,93,1,"","","","","","",""
11020024,102,3,110831,nyx_102_chloe_01,1,"","",0.2,"",""
11020025,102,11,110831,"If they're all completely\nchelled up in the head...\nNah, couldn't be.",20,"","","","",""
11020026,102,93,2.5,"","","","","","",""
11020027,102,3,110831,nyx_102_chloe_03,0,nyx_102_chloe_03_loop,1,0.2,"",""
11020028,102,3,2,nyx_102_chloe_03,0,nyx_102_chloe_03_loop,1,0.2,"",""
11020029,102,91,11020025,"","","","","","",""
11020030,102,93,1,"","","","","","",""
11020031,102,11,104831,"Cheru... cheru...",20,"","","","",""
11020032,102,93,1.5,"","","","","","",""
11020033,102,4,104631,1,0,"","","","",""
11020034,102,3,104631,cmn_shock_def_N,0,nyx_idle_surprise2,1,0.2,0.2,""
11020035,102,3,103431,cmn_shock_def_N,0,nyx_idle_surprise2,1,0.2,0.2,""
11020036,102,3,103231,nyx_surprise,0,nyx_idle_surprise1,1,0.2,0.2,""
11020037,102,93,1.5,"","","","","","",""
11020038,102,3,104631,nyx_talk_surprise2,1,"",1,0.2,0.2,""
11020039,102,3,103431,nyx_102_yukari_01,1,"","",0.2,"",""
11020040,102,11,103431,"Mifuyu!\nTry to chell out!\nGet a hold of yourchellf!",20,"","","","",""
11020041,102,91,0,1,"","","","","",""
11020042,102,3,103431,cmn_shock_def_N,0,nyx_102_tamaki_01_loop,1,0.2,0.2,""
11020043,102,4,103231,0,0,"","","","",""
11020044,102,4,104631,0,0,"","","","",""
11020045,102,91,0,"","","","","","",""
11020046,102,11,104631,"It's nyo good...\nMifuyu and Yukari\nare both chelling...\ntalking nyonsense!",20,"","","","",""
11020047,102,93,2.6,"","","","","","",""
11020048,102,3,104631,nyx_102_tamaki_01,0,nyx_102_tamaki_01_loop,1,0.2,0.2,""
11020049,102,93,0.1,"","","","","","",""
11020050,102,4,103231,1,0,"","","","",""
11020051,102,93,1.5,"","","","","","",""
11020052,102,11,103231,"It's like a virus... I hope\nthe next student is a\nlittle bit more normal...",20,"","","","",""
11020053,102,91,0,"","","","","","",""
11020054,102,93,1,"","","","","","",""
11020055,102,3,110831,nyx_102_chloe_04,0,nyx_102_chloe_03_loop,1,0.2,"",""
11020056,102,3,2,nyx_102_chloe_04,0,nyx_102_chloe_03_loop,1,0.2,"",""
11020057,102,93,1.5,"","","","","","",""
11020058,102,12,110831,12,1,"","","","",""
11020059,102,93,1,"","","","","","",""
11020060,102,12,103431,1,1,"","","","",""
11020061,102,3,103431,nyx_cmn_01,0,nyx_cmn_03,1,0.2,0.2,""
11020062,102,3,104631,nyx_idle_worry,1,"",1,0.2,0.2,""
11020063,102,93,2,"","","","","","",""
11020064,102,12,104831,12,1,"","","","",""
11020065,102,93,2,"","","","","","",""
11020066,102,12,103231,10,1,"","","","",""
11020067,102,3,103231,nyx_talk_normal,0,nyx_idle_normal,1,0.2,0.2,""
11020068,102,93,2,"","","","","","",""
11020069,102,12,104631,2,1,"","","","",""
11020070,102,3,104631,nyx_talk_sad,0,nyx_idle_worry,1,0.2,0.2,""
11020071,102,93,4,"","","","","","",""
11020072,102,101,11020055,1,"","","","","",""
11030001,103,1,1,111031,110,-421,-209.3,1.35,0,nyx_103_yuni_01
11030002,103,1,1,104831,110,121.8,-182.5,1.35,0,nyx_idle_normal
11030003,103,5,2,2,120,121.8,-182.5,1.35,0,NoItem
11030004,103,1,1,104631,110,227.7,-182.5,1.35,0,nyx_idle_normal
11030005,103,5,2,2,120,227.7,-182.5,1.35,0,NoItem
11030006,103,1,1,103231,110,340.3,-182.5,1.35,1,nyx_idle_normal
11030007,103,1,1,103431,110,449.6,-182.5,1.35,1,nyx_cmn_03
11030008,103,5,2,2,120,449.6,-182.5,1.35,1,NoItem
11030009,103,31,1,1,0,0,1,1,"",""
11030010,103,25,bgm_M347,bgm_M347,"","","","","",""
11030011,103,93,2,"","","","","","",""
11030012,103,3,103431,nyx_talk_sad,1,"","",0.2,"",""
11030013,103,11,103431,"Is listening to pitches\nsupposed to be\nthis traumatic?",20,"","","","",""
11030014,103,91,0,"","","","","","",""
11030015,103,3,103431,nyx_cmn_03,1,"","",0.2,"",""
11030016,103,3,104831,nyx_cmn_05,1,"","",0.2,"",""
11030017,103,11,104831,"I'm sure the next one\nwill be more normal.\nIt has to be... right?",20,"","","","",""
11030018,103,91,0,"","","","","","",""
11030019,103,3,104831,nyx_cmn_04,1,"","",0.2,"",""
11030020,103,3,103231,nyx_talk_normal,1,"","",0.2,"",""
11030021,103,11,103231,"Oh? It seems our next\npitch will be from another\nFriendship Club member.",20,"","","","",""
11030022,103,91,0,"","","","","","",""
11030023,103,3,103231,nyx_idle_normal,1,"","",0.2,"",""
11030024,103,3,104631,nyx_talk_sad,1,"","",0.2,"",""
11030025,103,11,104631,"Who knows what nyasty\nsurprises she'll bring?\nWe'd better steel ourselves.",20,"","","","",""
11030026,103,93,5.2,"","","","","","",""
11030027,103,3,111031,nyx_102_chloe_01,1,"","",0.2,"",""
11030028,103,91,11030025,"","","","","","",""
11030029,103,3,104631,nyx_cmn_02,0,nyx_idle_sad,1,0.2,0.3,""
11030030,103,3,2,nyx_cmn_02,0,"","",0.2,"",""
11030031,103,3,103431,nyx_cmn_02,0,nyx_cmn_03,1,0.2,0.3,""
11030032,103,3,2,nyx_cmn_02,0,"","",0.2,"",""
11030033,103,3,104831,nyx_cmn_02,0,nyx_idle_normal,1,0.2,0.2,""
11030034,103,3,2,nyx_cmn_02,0,"","",0.2,"",""
11030035,103,93,1.5,"","","","","","",""
11030036,103,3,111031,nyx_303_yuni_01,1,"","",0.2,"",""
11030037,103,11,111031,"Hrm, it's my turn next.\nHow prudent of them\nto save the best for last.",20,"","","","",""
11030038,103,93,2.8,"","","","","","",""
11030039,103,12,104831,13,1,"","","","",""
11030040,103,3,104831,nyx_talk_normal,1,"","",0.2,"",""
11030041,103,91,11030037,"","","","","","",""
11030042,103,11,111031,"Young Chieru, young Chloe...\nI will not let your sacrifices\ngo unavenged.",20,"","","","",""
11030043,103,91,0,"","","","","","",""
11030044,103,3,111031,nyx_103_yuni_02,1,"","",0.2,"",""
11030045,103,11,111031,"The time has come to\nfulfill my duty as your\nesteemed elder.",20,"","","","",""
11030046,103,93,1.5,"","","","","","",""
11030047,103,12,103231,17,1,"","","","",""
11030048,103,3,104831,nyx_idle_normal,1,"","",0.2,"",""
11030049,103,3,103231,nyx_cmn_05,1,"","",0.2,"",""
11030050,103,91,11030045,"","","","","","",""
11030051,103,3,111031,nyx_103_yuni_03,0,nyx_103_yuni_04,0,0.3,0.6,""
11030052,103,11,111031,"On the honor of\nthe Yuni-ettes...!",20,"","","","",""
11030053,103,91,0,"","","","","","",""
11030054,103,3,103231,nyx_idle_normal,1,"","",0.2,"",""
11030055,103,93,0.6,"","","","","","",""
11030056,103,12,111031,12,1,"","",0.2,"",""
11030057,103,3,111031,cmn_pose02_def_N,0,nyx_idle_normal,1,0.2,0.2,""
11030058,103,93,1.5,"","","","","","",""
11030059,103,12,104631,15,1,"","","","",""
11030060,103,3,104631,nyx_talk_sad,0,nyx_idle_worry,1,0.2,0.2,""
11030061,103,93,2,"","","","","","",""
11030062,103,12,103231,10,1,"","","","",""
11030063,103,3,103231,nyx_talk_joy1,0,nyx_idle_normal,1,0.2,0.2,""
11030064,103,3,111031,nyx_103_yuni_01,0,nyx_idle_normal,1,0.2,0.2,""
11030065,103,93,2.5,"","","","","","",""
11030066,103,12,103431,1,1,"","","","",""
11030067,103,3,103431,nyx_cmn_01,0,nyx_cmn_03,1,0.2,0.3,""
11030068,103,93,2,"","","","","","",""
11030069,103,12,104831,12,1,"","","","",""
11030070,103,3,104831,nyx_talk_bitter,1,"","",0.2,"",""
11030071,103,93,2,"","","","","","",""
11030072,103,3,104831,nyx_idle_bitter,1,"","",0.2,"",""
11030073,103,93,1,"","","","","","",""
11030074,103,101,11030056,"","","","","","",""
12010001,201,1,1,103231,110,-235.4,-294.7,1.2,1,nyx_201_akino_01
12010002,201,5,2,2,120,-235.4,-294.7,1.2,1,nyx_201_akino_01
12010003,201,1,1,104631,110,-357,-281.6,1.2,0,nyx_idle_normal
12010004,201,1,1,103431,110,310.5,-281.6,1.2,1,nyx_idle_normal
12010005,201,1,1,104831,110,-453.3,-281.6,1.2,0,nyx_idle_normal
12010006,201,31,2,1,0,0,1,1,"",""
12010007,201,31,11,2,0,0,1,1,"",""
12010008,201,25,bgm_M347,bgm_M347,"","","","","",""
12010009,201,93,2,"","","","","","",""
12010010,201,11,103231,"Tamaki, can I count\non you to assemble\nthis component?",20,"","","","",""
12010011,201,91,0,"","","","","","",""
12010012,201,3,104631,nyx_surprise,0,nyx_idle_surprise1,1,0.3,0.3,""
12010013,201,11,104631,"S-sure, nyo problem!\n(...I don't remember\nanything like this from\nthe blueprints...)",20,"","","","",""
12010014,201,91,0,"","","","","","",""
12010015,201,4,103231,0,0,"","","","",""
12010016,201,4,2,0,"","","","","",""
12010017,201,3,104631,nyx_idle_bitter2,1,"","",0.3,0.3,""
12010018,201,3,103231,nyx_201_akino_02,1,"","",0.3,0.3,""
12010019,201,3,2,nyx_201_akino_02,1,"","",0.3,0.3,""
12010020,201,2,103231,199,-294.7,2.2,"","","",""
12010021,201,2,2,199,-294.7,2.2,"","","",""
12010022,201,93,2.2,"","","","","","",""
12010023,201,3,103231,nyx_201_akino_01,1,"","",0.3,0.3,""
12010024,201,3,2,nyx_201_akino_01,1,"","",0.3,0.3,""
12010025,201,11,103231,"Yukari!\nI need you to order\nthese circuits as soon\nas humanly possible!",20,"","","","",""
12010026,201,91,0,"","","","","","",""
12010027,201,3,103431,nyx_cmn_01,1,"","",0.3,0.3,""
12010028,201,11,103431,"Huh? Huh?\nWait—Akino?\nWhat are these even for?!",20,"","","","",""
12010029,201,91,0,"","","","","","",""
12010030,201,3,103431,nyx_idle_bitter2,1,"","",0.3,0.3,""
12010031,201,4,103231,1,"","","","","",""
12010032,201,4,2,1,"","","","","",""
12010033,201,3,103231,nyx_201_akino_02,1,"","",0.3,0.3,""
12010034,201,3,2,nyx_201_akino_02,1,"","",0.3,0.3,""
12010035,201,2,103231,-235.4,-294.7,2.2,"","","",""
12010036,201,2,2,-235.4,-294.7,2.2,"","","",""
12010037,201,93,2.2,"","","","","","",""
12010038,201,3,103231,nyx_201_akino_01,1,"","",0.3,0.3,""
12010039,201,3,2,nyx_201_akino_01,1,"","",0.3,0.3,""
12010040,201,11,103231,"Mifuyu, you'll be testing\nthat every process is\nfunctioning as specified!",20,"","","","",""
12010041,201,91,0,"","","","","","",""
12010042,201,3,104831,nyx_surprise,0,nyx_idle_surprise1,1,0.3,0.3,""
12010043,201,11,104831,"R-right!\n(Akino is working so hard...\nShe's in her element!)",20,"","",0,"",""
12010044,201,91,0,"","","","","","",""
12010045,201,3,104831,nyx_talk_sad,1,"","",0.3,0.3,""
12010046,201,11,104831,"(So why do I get\na terrible sinking feeling\nabout this whole project?)",20,"","",0,"",""
12010047,201,91,0,"","","","","","",""
12010048,201,3,104831,nyx_idle_bitter2,1,"","",0.3,0.3,""
12010049,201,91,0,"","","","","","",""
12010050,201,93,0.4,"","","","","","",""
12010051,201,4,103231,0,0,"","","","",""
12010052,201,4,2,0,"","","","","",""
12010053,201,3,103231,nyx_201_akino_02,1,"","",0.2,0.2,""
12010054,201,3,2,nyx_201_akino_02,1,"","",0.2,0.2,""
12010055,201,2,103231,199,-294.7,2.2,"","","",""
12010056,201,2,2,199,-294.7,2.2,"","","",""
12010057,201,3,103431,nyx_cmn_03,1,"","",0.2,0.2,""
12010058,201,93,2.2,"","","","","","",""
12010059,201,12,103231,10,1,"","","","",""
12010060,201,3,103231,nyx_201_akino_01,1,"","",0.2,0.2,""
12010061,201,3,2,nyx_201_akino_01,1,"","",0.2,0.2,""
12010062,201,91,0,"","","","","","",""
12010063,201,3,103431,nyx_idle_surprise1,1,"","",0.2,0.2,""
12010064,201,91,0,"","","","","","",""
12010065,201,3,103431,nyx_102_chloe_02,1,"","",0.2,0.2,""
12010066,201,4,103231,1,"","","","","",""
12010067,201,4,2,1,"","","","","",""
12010068,201,3,103231,nyx_201_akino_02,1,"","",0.2,0.2,""
12010069,201,3,2,nyx_201_akino_02,1,"","",0.2,0.2,""
12010070,201,2,103231,-235.4,-294.7,2.2,"","","",""
12010071,201,2,2,-235.4,-294.7,2.2,"","","",""
12010072,201,93,2.2,"","","","","","",""
12010073,201,12,103231,10,1,"","","","",""
12010074,201,3,103231,nyx_201_akino_01,1,"","",0.2,0.2,""
12010075,201,3,2,nyx_201_akino_01,1,"","","",0.2,""
12010076,201,93,3,"","","","","","",""
12010077,201,3,104631,cmn_nod_def_N,0,nyx_idle_normal,1,0.2,0.2,""
12010078,201,93,0.8,"","","","","","",""
12010079,201,12,104831,3,1,"","","","",""
12010080,201,3,104831,nyx_talk_worry,0,nyx_idle_sad,1,0.2,0.2,""
12010081,201,93,1,"","","","","","",""
12010082,201,101,12010051,"","","","","","",""
12020001,202,5,1,3,100,-136,-255,1.2,0,nyx_202_tamaki_03_loop
12020002,202,1,1,103231,110,183.7,-286.1,1.2,1,nyx_idle_joy1
12020003,202,5,2,5,120,312.6,-286.1,1.2,1,nyx_202_yukari_01
12020004,202,1,1,103431,110,312.6,-286.1,1.2,1,nyx_202_yukari_01
12020005,202,1,1,104831,120,-269.8,-286.1,1.2,0,nyx_idle_normal
12020006,202,31,2,1,0,0,1,1,"",""
12020007,202,31,12,2,0,34,1,1,"",""
12020008,202,31,16,7,-74,130,1,0,"",""
12020009,202,5,3,4,110,-208,-255,1,0,nyx_yagura_idle
12020010,202,5,2,6,120,-269.8,-286.1,1.2,0,NoItem
12020011,202,25,bgm_M347,bgm_M347,"","","","","",""
12020012,202,93,2,"","","","","","",""
12020013,202,11,3,"This is actually fun!\nI'm having the time\nof my nyine lives!",20,"","","","",""
12020014,202,91,0,"","","","","","",""
12020015,202,11,3,"I'm gonna make this\nthe greatest taiyaki mech\nthe world has ever seen!",20,"","","","",""
12020016,202,91,0,"","","","","","",""
12020017,202,11,3,"I won't hold anything back!\nIt'll be my meowsterpiece!",20,"","","","",""
12020018,202,93,0.4,"","","","","","",""
12020019,202,3,3,nyx_202_tamaki_03_puton,0,nyx_202_tamaki_loop,1,0.2,"",""
12020020,202,91,12020017,"","","","","","",""
12020021,202,3,3,nyx_202_tamaki_up,0,nyx_202_tamaki_01,1,0.2,"",""
12020022,202,3,4,nyx_yagura_up,0,nyx_yagura_up_idle,1,"","",""
12020023,202,93,2.4,"","","","","","",""
12020024,202,32,7,1,"","","","","",""
12020025,202,3,103231,nyx_202_akino_01_loop,1,"","",0.2,"",""
12020026,202,11,103231,"Ohohoho!\nThat's the spirit,\nmy dear Tamaki!",20,"","","","",""
12020027,202,91,0,"","","","","","",""
12020028,202,3,104831,nyx_talk_anger2,1,"","",0.2,"",""
12020029,202,11,104831,"Where did it say\nanything about taiyaki\non the blueprints?!",20,"","","","",""
12020030,202,91,0,"","","","","","",""
12020031,202,3,103431,nyx_idle_anger2,1,"","",0.2,"",""
12020032,202,3,103431,nyx_202_yukari_01,1,"","",0.2,"",""
12020033,202,11,103431,"Don' worry, Miffy-you...\nLeave everythin' to Tamacky\nan' it'll be jus' fine! *hic*",20,"","","","",""
12020034,202,91,0,"","","","","","",""
12020035,202,3,104831,nyx_cmn_05,0,nyx_cmn_04,"",0.2,0.2,""
12020036,202,11,104831,"Yukari?\nWhat are you drinking?\nHave you been bribed?!",20,"","",0,"",""
12020037,202,91,0,"","","","","","",""
12020038,202,3,103431,nyx_202_yukari_01,1,"","",0.2,"",""
12020039,202,11,103431,"Huhhhh~?\nDon' be redinkylous!\nEheheheh... ♪",20,"","","","",""
12020040,202,91,0,"","","","","","",""
12020041,202,93,2,"","","","","","",""
12020042,202,12,103231,13,1,"","","","",""
12020043,202,3,103231,nyx_talk_joy2,0,nyx_202_akino_01_loop,1,0.2,0.2,""
12020044,202,93,2.5,"","","","","","",""
12020045,202,12,104831,3,1,"","","","",""
12020046,202,3,104831,nyx_talk_anger2,1,"","",0.2,"",""
12020047,202,93,2,"","","","","","",""
12020048,202,3,104831,nyx_cmn_02,0,"","",0.2,"",""
12020049,202,3,6,nyx_cmn_02,0,NoItem,1,0.2,"",""
12020050,202,93,1,"","","","","","",""
12020051,202,3,104831,nyx_cmn_05,0,nyx_cmn_04,1,0.2,0.2,""
12020052,202,93,2,"","","","","","",""
12020053,202,12,103431,5,1,"","","","",""
12020054,202,3,5,nyx_203_yukari_01,0,nyx_202_yukari_01,1,0.2,0.2,""
12020055,202,3,103431,nyx_203_yukari_01,0,nyx_202_yukari_01,1,0.2,0.2,""
12020056,202,93,1.2,"","","","","","",""
12020057,202,12,3,11,1,"","","","",""
12020058,202,93,0.8,"","","","","","",""
12020059,202,101,12020041,"","","","","","",""
12030001,203,1,1,104831,130,-300,-286,1.2,0,nyx_idle_normal
12030002,203,1,1,104631,100,316,-286,1.2,1,nyx_idle_normal
12030003,203,1,1,103231,100,110,-286,1.2,1,nyx_idle_normal
12030004,203,1,1,103431,100,-200,-10,1.2,0,nyx_203_yukari_01
12030005,203,31,2,1,0,0,1,1,"",""
12030006,203,31,13,2,-80,34,1,1,"",""
12030007,203,5,2,3,110,-200,-10,1.2,0,nyx_203_yukari_01
12030008,203,5,3,4,120,-250,-255,1,0,nyx_yagura_up_harf
12030009,203,25,bgm_M347,bgm_M347,"","","","","",""
12030010,203,93,2,"","","","","","",""
12030011,203,11,103431,"Huhhhh~?\nWhere am I~?\nWha's my name again~?",20,"","","","",""
12030012,203,93,0.6,"","","","","","",""
12030013,203,3,103231,nyx_lookup,0,nyx_lookup_loop2,1,0.2,0.2,""
12030014,203,91,12030011,"","","","","","",""
12030015,203,11,103431,"Hmmmm~?\nOoh, who're you,\nbig square guy~?",20,"","","","",""
12030016,203,93,0.6,"","","","","","",""
12030017,203,3,104631,nyx_lookup,0,nyx_lookup_loop2,1,0.2,0.2,""
12030018,203,91,12030015,"","","","","","",""
12030019,203,3,3,nyx_203_yukari_02,0,nyx_203_yukari_05,1,0.2,"",""
12030020,203,3,103431,nyx_203_yukari_02,0,nyx_203_yukari_05,1,0.2,"",""
12030021,203,11,103431,"You wanna sip of\nthis barley broth~?\nIt's reeeeal good!",20,"","","","",""
12030022,203,93,0.4,"","","","","","",""
12030023,203,3,104831,nyx_lookup,0,nyx_lookup_loop2,1,0.2,0.2,""
12030024,203,91,12030021,"","","","","","",""
12030025,203,93,0.2,"","","","","","",""
12030026,203,3,104831,nyx_cmn_02,0,nyx_idle_sad,1,0.2,0.2,""
12030027,203,11,104831,"What are you doing,\nYukari...?",20,"","",0,"",""
12030028,203,93,0.1,"","","","","","",""
12030029,203,3,103231,nyx_cmn_02,0,nyx_cmn_04,1,0.2,0.2,""
12030030,203,11,103231,"Whatever are you\ndoing, Yukari...?",20,"","","","",""
12030031,203,93,0.1,"","","","","","",""
12030032,203,3,104631,nyx_cmn_02,0,nyx_idle_sad,1,0.2,0.2,""
12030033,203,11,104631,"What're you doing,\nYukari...?",20,"","","","",""
12030034,203,91,0,"","","","","","",""
12030035,203,3,3,nyx_203_yukari_03,1,"","",0.5,"",""
12030036,203,3,103431,nyx_203_yukari_03,1,"","",0.5,"",""
12030037,203,11,103431,"Go ooon, down it all!\nNothin's imposhible with\na shwig o' barley broth!",20,"","","","",""
12030038,203,91,0,"","","","","","",""
12030039,203,93,0.1,"","","","","","",""
12030040,203,3,3,nyx_203_yukari_06,0,nyx_203_yukari_05,1,0.2,"",""
12030041,203,3,103431,nyx_203_yukari_06,0,nyx_203_yukari_05,1,0.2,"",""
12030042,203,93,0.5,"","","","","","",""
12030043,203,3,103231,nyx_lookup,0,nyx_cmn_05,1,0.2,0.2,""
12030044,203,93,2,"","","","","","",""
12030045,203,12,103231,1,1,"","","","",""
12030046,203,4,3,1,"","","","","",""
12030047,203,4,103431,1,"","","","","",""
12030048,203,3,3,nyx_203_yukari_04,0,"","",0.2,"",""
12030049,203,3,103431,nyx_203_yukari_04,0,"","",0.2,"",""
12030050,203,2,3,-245,-10,0.67,0,"","",""
12030051,203,2,103431,-245,-10,0.67,0,"","",""
12030052,203,93,0.67,"","","","","","",""
12030053,203,93,0.83,"","","","","","",""
12030054,203,2,3,-265,-10,0.5,0,"","",""
12030055,203,2,103431,-265,-10,0.5,0,"","",""
12030056,203,93,0.5,"","","","","","",""
12030057,203,2,3,-328,-10,0.67,0,"","",""
12030058,203,2,103431,-328,-10,0.67,0,"","",""
12030059,203,3,103231,nyx_cmn_04,1,"","",0.2,"",""
12030060,203,3,104831,nyx_lookup,0,nyx_idle_sad,1,0.2,0.2,""
12030061,203,93,0.67,"","","","","","",""
12030062,203,2,3,-330,-10,0.67,0,"","",""
12030063,203,2,103431,-330,-10,0.67,0,"","",""
12030064,203,93,0.67,"","","","","","",""
